Acc No,Title,Author,Publication,Language,Subject,Rack,Condition,Status,Acc/Rcvd Date,Register,Register SN,Comments,Corrections
DC1027,Pratimanatakam of Bhasa,T K Ramachandra Aiyar,R S Vadhyar & Sons,,NA,R14,G,OC,28/10/2017,DC,1027,,
DC1028,Pratimanatakam of Bhasa,T K Ramachandra Aiyar,R S Vadhyar & Sons,,NA,R14,G,OC,28/10/2017,DC,1028,,
DC1029,Pratimanatakam of Bhasa,T K Ramachandra Aiyar,R S Vadhyar & Sons,,NA,R14,G,OC,28/10/2017,DC,1029,,
DC103,Bharatiya Vanmayeshy Ramakatha Varnam Vol 2,Dr.Adhyacharan Jha,,,NA,R14,G,OC,,DC,103,,
DC1030,Pratimanatakam of Bhasa,T K Ramachandra Aiyar,R S Vadhyar & Sons,,NA,R14,G,OC,28/10/2017,DC,1030,,
DC1031,Pratimanatakam of Bhasa,T K Ramachandra Aiyar,R S Vadhyar & Sons,,NA,R14,G,OC,28/10/2017,DC,1031,,
DC1032,Sri Kalidasa's Kumarasambhava Mahakavya - Canto I,T K Ramachandra Aiyar,,,NA,R14,,,29/11/2017,DC,1032,,
DC1033,Sri Kalidasa's Kumarasambhava Mahakavya - Canto I,T K Ramachandra Aiyar,,,NA,R14,,,29/11/2017,DC,1033,,
DC1034,Sri Kalidasa's Kumarasambhava Mahakavya - Canto I,T K Ramachandra Aiyar,,,NA,R14,,,29/11/2017,DC,1034,,
DC1035,Sri Kalidasa's Kumarasambhava Mahakavya - Canto I,T K Ramachandra Aiyar,,,NA,R14,,,29/11/2017,DC,1035,,
DC1036,Sri Kalidasa's Kumarasambhava Mahakavya - Canto I,T K Ramachandra Aiyar,,,NA,R14,,,29/11/2017,DC,1036,,
DC1037,Sri Kalidasa's Kumarasambhava Mahakavya - Canto I,T K Ramachandra Aiyar,,,NA,R14,,,29/11/2017,DC,1037,,
DC1038,Sri Kalidasa's Kumarasambhava Mahakavya - Canto I,T K Ramachandra Aiyar,,,NA,R14,,,29/11/2017,DC,1038,,
DC1039,Sri Kalidasa's Kumarasambhava Mahakavya - Canto I,T K Ramachandra Aiyar,,,NA,R14,,,29/11/2017,DC,1039,,
DC104,Anandashrama)Samskritha Granthavali - Taitriyopansihad,Vinayaka Ganesha Apte,,,NA,R14,G,OC,,DC,104,,
DC1040,Sri Kalidasa's Kumarasambhava Mahakavya - Canto I,T K Ramachandra Aiyar,,,NA,R14,,,29/11/2017,DC,1040,,
DC1041,Sri Kalidasa's Kumarasambhava Mahakavya - Canto I,T K Ramachandra Aiyar,,,NA,R14,,,29/11/2017,DC,1041,,
DC1042,Samkshepa Ramayanam,Dr. K. Prasanth,,,NA,R14,,,29/11/2017,DC,1042,,
DC1043,Samkshepa Ramayanam,Dr. K. Prasanth,,,NA,R14,,,29/11/2017,DC,1043,,
DC1044,Atmabodha - Arthaprakashini Vyakhya,Swami Harshanandapuri,,,NA,R14,,,01/12/2017,DC,1044,,
DC1045,Laghusiddhantakaumudi,Varadaraja,Gitapress,,NA,R14,,,07/12/2017,DC,1045,,
DC1046,Laghusiddhantakaumudi,Varadaraja,Gitapress,,NA,R14,,,07/12/2017,DC,1046,,
DC1047,Laghusiddhantakaumudi,Varadaraja,Gitapress,,NA,R14,,,07/12/2017,DC,1047,,
DC1048,Laghusiddhantakaumudi,Varadaraja,Gitapress,,NA,R14,,,07/12/2017,DC,1048,,
DC1049,Laghusiddhantakaumudi,Varadaraja,Gitapress,,NA,R14,,,07/12/2017,DC,1049,,
DC105,Kenopanishad(Gita Press),Unknown,,,NA,R14,G,OC,,DC,105,,
DC1050,Laghusiddhantakaumudi,Varadaraja,Gitapress,,NA,R14,,,07/12/2017,DC,1050,,
DC1051,Katha Upanisad with the commentary of Sankaracarya,,Advaita Ashrama,,NA,R14,,,07/12/2017,DC,1051,,
DC1052,Katha Upanisad with the commentary of Sankaracarya,,Advaita Ashrama,,NA,R14,,,07/12/2017,DC,1052,,
DC1053,Katha Upanisad with the commentary of Sankaracarya,,Advaita Ashrama,,NA,R14,,,07/12/2017,DC,1053,,
DC1054,Katha Upanisad with the commentary of Sankaracarya,,Advaita Ashrama,,NA,R14,,,07/12/2017,DC,1054,,
DC1055,Environmental Studies for Undergraduate Students,,,,NA,R14,,,20/07/2018,DC,1055,,
DC1056,Raghava-Yadaveeyam,Sri Venkatadhvari,LIFCO Publishers,,NA,R14,G,OC,21/07/2018,DC,1056,,
DC1057,Raghava-Yadaveeyam,Sri Venkatadhvari,LIFCO Publishers,,NA,R14,G,OC,21/07/2018,DC,1057,,
DC1058,Meghasandesham (Tamil),"Kalidasa, Venkataraghavacharyar",LIFCO Publishers,,NA,R14,G,OC,21/07/2018,DC,1058,,
