Acc No,Title,Author,Publication,Language,Subject,Rack,Condition,Status,Acc/Rcvd Date,Register,Register SN,Comments,Corrections
62714,Studies In Vedic Interpretation,A B Purani,,,A6,R1,G,O,,MAIN - Vol 1,914,,
62715,Religion of The Vedas,Bloomfield M,,,A6,R1,G,O,,MAIN - Vol 1,915,,
62716,The Mythology of The Aryan Nations,G W Cox,,,M,R18,G,O,,MAIN - Vol 1,913,,
62803,Collected Papers of The Institute Volume 1 - 1978,"Tamil, Sanskrit And Other Languages Research Institute, Egmore, Madras",,,P,R-3-A,G,O,,MAIN,,,
62804,Banabhatta,Krishnamoorthy K,,,M1,R19,G,O,,MAIN - Vol 1,921,,
62805,Indian Literature,Sahitya Academy,,,K,R17,NA,M,,MAIN - Vol 1,922,,
62806,Bhagavat Gita With The Commentary of Sankara (Translation),A Mahadeva Sastri,,,C6,R4,NA,M,,MAIN - Vol 1,923,,
62807,Dakshinamurthy Stotra,A Mahadeva Sastri,,,F2,R5,G,O,,MAIN - Vol 1,924,,
62834,History of Sanskrit Poetics,S K De,,,J,"R11, R12",B,O,,MAIN - Vol 1,1118,,
62835,History of Classical Sanskrit Literature,M Krishnamachari,,,K,R17,D,O,,MAIN - Vol 1,1119,,
62836,History of Sanskrit Literature,"Macdonell, A A",,,K,R17,G,O,,MAIN - Vol 1,1120,,
62837,Mahasubhasitasangraha,Sternbach L,,,F2,R5,G,O,,MAIN - Vol 1,1121,,
62838,Manusmriti Vol I,J H Dave,,,A5,R1,G,O,,MAIN - Vol 1,957,,
62888,Vedartha Sangraha,S S Raghavachar,,,C6,R4,NA,R,,MAIN - Vol 1,3027,,
62889,Drg-Drsya-Viveka,Nikhilananda,,,C6,R4,G,O,,MAIN - Vol 1,959,,
62890,Methods of Knowledge According To Advaita,Satprakasananda,,,C6,R4,G,O,,MAIN - Vol 1,960,,
62891,Spritual Heritage of India,Prabhavananda,,,M,R18,G,O,,MAIN - Vol 1,961,,
62892,Cultural Heritage of India Vol 1,Institute Of Culture,,,M,R18,G,O,,MAIN - Vol 1,962,,
62893,Cultural Heritage of India Vol 2,Institute Of Culture,,,M,R18,G,O,,MAIN - Vol 1,963,,
62894,Cultural Heritage of India Vol 3,Institute Of Culture,,,M,R18,G,O,,MAIN - Vol 1,964,,
62895,Cultural Heritage of India Vol 4,Institute Of Culture,,,M,R18,G,O,,MAIN - Vol 1,965,,
62896,Vedanta Paribasha,Dharmaraja Adhvari,,,C6,R4,G,O,,MAIN - Vol 1,966,,
62897,Mandukya Upanishad Karikas,Nikhilananda,,,C6,R4,D,O,,MAIN - Vol 1,967,,
62898,Brahma Sutra Bashya of Sankara,Gambhirananda,"Sri Ramakrishna Math, Chennai",,C6,R4,NA,M,,MAIN - Vol 1,968,,
62899,Prasnopanishad,Sarvananda,,,C6,R4,G,O,,MAIN - Vol 1,969,,
62900,Mundakopanishad,Sarvananda,,,C6,R4,G,O,,MAIN - Vol 1,970,,
62901,Aitareyopanishad,Sarvananda,,,C6,R4,G,O,,MAIN - Vol 1,971,,
62902,Taittiriyopanishad,Sarvananda,,,C6,R4,D,O,,MAIN - Vol 1,972,,
62903,Chandogya Upanishad,Swahananda,,,C6,R4,G,O,,MAIN - Vol 1,973,,
62904,Upadesa Sahasri,Sankaracharya,,,C6,R4,G,O,,MAIN - Vol 1,974,,
62905,Pancadasi,Vidyaranya,,,C6,R4,G,O,,MAIN - Vol 1,975,,
62906,Narada Bhakti Sutras,Tyagisananda,,,C8,R2,G,O,,MAIN - Vol 1,976,,
62907,Advaita Vedanta,Vivekananda,"Sri Ramakrishna Math, Chennai",,C6,R4,G,R,,MAIN - Vol 1,225,,
62908,Vedanta Sara,Sadananda,,,C6,R4,D,O,,MAIN - Vol 1,978,,
62909,Shiva Mahimna Strotram,Pushpadanta,,,F2,R5,G,O,,MAIN - Vol 1,979,,
62910,Vivekachudamani,Sankaracharya,,,C6,R4,G,O,,MAIN - Vol 1,1122,,
62911,Panchikaranam,Sankaracharya,,,C6,R4,G,O,,MAIN - Vol 1,980,,
62990,Brahma Sutra Sankara Bashyam Catussutri,K N Misra,,,C6,R4,G,O,,MAIN - Vol 1,926,,
62991,Prastava Tarangini,Carndeva Sastri,,,O,R16,G,O,,MAIN - Vol 1,927,,
62992,Vedanta Paribasha,Dharmaraja,,,C6,R4,NA,M,,MAIN - Vol 1,928,,
62993,Vedanta Paribasha,Dharmaraja,,,C6,R4,NA,M,,MAIN - Vol 1,929,,
62994,Artha Sangraha,"Laugakshi Bhaskara, G Thibaut",,,C5,R2,G,O,,MAIN - Vol 1,930,,
62995,Tatva Prakasah,Bhoja,,,C8,R2,G,O,,MAIN - Vol 1,931,,
62996,Sarasvati Kanthabharanam,Bhoja,,,J,"R11, R12",G,O,,MAIN - Vol 1,940,,
62997,Purana Kanyalocanam (Samikshanatmak Bhag),Sri Krishnamani Tripathi,,,E1,R9,G,O,,MAIN - Vol 1,941,,
62998,Purana Kanyalocanam (Ganeshanatmak Bhag),Sri Krishnamani Tripathi,,,E1,R9,G,O,,MAIN - Vol 1,942,,
62999,Sanskrit Vyakaranodayah,Jayamanth Misra,,,O,R16,G,O,,MAIN - Vol 1,943,,
63000,Vedanta Paribasha,Dharmaraja Adhvari,,,C6,R4,G,O,,MAIN - Vol 1,944,,
63001,Vedanta Paribasha,Dharmaraja Adhvari,,,C6,R4,G,O,,MAIN - Vol 1,945,,
63020,Kavyamimamsa,Rajasekhara,,,J,"R11, R12",G,O,,MAIN - Vol 1,981,,
63021,Ganakarika of Acarya Bhasarvajna,Bhasarvajna (Ed D Dalal),,,C8,R2,G,O,,MAIN - Vol 1,982,,
63022,Manasollasa,Someswara,,,R,"R6, R16",G,O,,MAIN - Vol 1,983,,
63023,Nyayapravesha Vol 1,Dingnaga,,,C7,R2,NA,O,,MAIN - Vol 1,984,,
63024,Vikramankabhyudayam,Someswara,,,H,R17,G,O,,MAIN - Vol 1,985,,
63025,The Soma-Hymns of Rgveda,S S Bhave,,,A1,R1,G,O,,MAIN - Vol 1,986,,
63026,Origin And Development of Dattatreya Worship In India,H S Joshi,,,C8,R2,NA,M,,MAIN - Vol 1,987,,
63027,Similies In Ramayana,M M Pathak,,,D4,R9,G,O,,MAIN - Vol 1,988,,
63028,Sri Kanthacaritam - A Study,B N Bhat,,,F1,R5,G,O,,MAIN - Vol 1,989,,
63029,Bhavaprakasana,Sanadatanaya,,,J,"R11, R12",G,O,,MAIN - Vol 1,946,,
63030,Jayasamhita Vol 1,K K Shastree,,,D2,R9,G,O,,MAIN - Vol 1,947,,
63031,Jayasamhita Vol 2,K K Shastree,,,D2,R9,G,O,,MAIN - Vol 1,948,,
63032,Natyadarpana,Ramacandra Gunacandra,,,I1,R11,G,O,,MAIN - Vol 1,925,,
63033,Sabarabhashyam English Ed. Vol 1,Ganganath Jha,,,C5,R2,G,O,,MAIN - Vol 1,932,,
63034,Sabarabhashyam English Ed. Vol 2,Ganganath Jha,,,C5,R2,G,O,,MAIN - Vol 1,933,,
63035,Sabarabhashyam English Ed. Vol 3,Ganganath Jha,,,C5,R2,G,O,,MAIN - Vol 1,934,,
63036,Index To The English Translation of Sabara Bhashya,Umesh Misra,,,R,"R6, R16",G,O,,MAIN - Vol 1,935,,
63037,Pada Index To Valmiki Ramayana Vol 1,G H Bhat,,,R,"R6, R16",G,O,,MAIN - Vol 1,936,,
63038,A Dictionary of Sanskrit Grammar,K V Abhyankar,,,R,"R6, R16",G,O,,MAIN - Vol 1,937,,
63039,Pada Index To Valmiki Ramayana Vol 2,G H Bhat,,,R,"R6, R16",G,O,,MAIN - Vol 1,938,,
63040,Agamapramanya,Ed. Dr N Narasimhachary,,,C8,R2,G,O,,MAIN - Vol 1,939,,
63041,Valmiki Ramayana Cri. Edn. (Balakanda),Ed. G H Bhat,,,D1,R9,G,O,,MAIN - Vol 1,949,,
63042,Valmiki Ramayana Vol 2 (Ayodhyakanda),P L Vaidya,,,D1,R9,G,O,,MAIN - Vol 1,950,,
63043,Valmiki Ramayana Vol 3 (Aranyakanda),P C Dibanji,,,D1,R9,G,O,,MAIN - Vol 1,951,,
63044,Valmiki Ramayana Vol 4 (Kishkindakanda),D R Mankad,,,D1,R9,G,O,,MAIN - Vol 1,952,,
63045,Valmiki Ramayana Vol 5 (Sundarakanda),G C Jhala,,,D1,R9,G,O,,MAIN - Vol 1,953,,
63046,Valmiki Ramayana Vol 6 (Yuddhakanda),P L Vaidya,,,D1,R9,G,O,,MAIN - Vol 1,954,,
63047,Valmiki Ramayana Vol 7 (Uttarakanda),U P Shah,,,D1,R9,G,O,,MAIN - Vol 1,955,,
63093,Word Index To Brahmasutra Bhashya of Sankara Vol 1,T M P Mahadevan,,,R,"R6, R16",G,O,,MAIN - Vol 1,990,,
63094,Word Index To Brahmasutra Bhashya of Sankara Vol 2,T M P Mahadevan,,,R,"R6, R16",G,O,,MAIN - Vol 1,991,,
63095,Samkshepa Sarirakam,Sarvajnatman,,,C6,R4,G,O,,MAIN - Vol 1,1116,,
63096,Some Aspects of Literary Criticism In Sanskrit,Sankaran,,,J,"R11, R12",G,O,,MAIN - Vol 1,992,,
63097,Some Aspects of Literary Criticism In Sanskrit,Sankaran,,,J,"R11, R12",NA,M,,MAIN - Vol 1,993,,
63098,Sivadvaita Nirnaya,Appaya Dikshitha,,,C8,R2,G,O,,MAIN - Vol 1,1117,,
63099,Sata Ratna Sangrahah,Umapati Sivacarya,,,C7,R2,G,O,,MAIN - Vol 1,994,,
63100,Gaudapada,T M P Mahadevan,,,M1,R19,G,O,,MAIN - Vol 1,995,,
63101,Sankhya Karika,Isvara Krishna,,,C3,R2,NA,M,,MAIN - Vol 1,996,,
63102,Sambandha Vartikam,Sureswvara,,,C6,R4,G,O,,MAIN - Vol 1,997,,
63103,Index To Dissertations In Philosophy,Abdul Rawoof,,,R,"R6, R16",G,O,,MAIN - Vol 1,998,,
63104,Visistadvaita - Its Mystical And Metaphysical Undertones,K Sheshadri,,,C6,R4,NA,M,,MAIN - Vol 1,999,,
63105,Advaita In Tamil,T P Meenakshisundaram,,,C6,R4,G,O,,MAIN - Vol 1,1000,,
63106,The Concept of Bhakti,P Thirujnanasambamdhan,,,C8,R2,NA,M,,MAIN - Vol 1,1001,,
63107,"The Vedas, Upanishads And The Bhagavad Gita - The Path of Action",C S Venkateswaran,,,C6,R4,G,O,,MAIN - Vol 1,1002,,
63118,Sankarsha Kanda,Jaimini,,,C5,R2,G,O,,MAIN - Vol 1,1003,,
63119,Taittriyopanishad Bhasya Vartika,Sureswvara,,,C6,R4,G,O,,MAIN - Vol 1,1004,,
63120,Pratyabhijnahrdayam,P Thirujnanasambamdhan,,,I,R10,G,O,,MAIN - Vol 1,1005,,
63175,Tirukural In Sanskrit,Sriramadesikan S N,,,M,R18,NA,M,,MAIN - Vol 1,1006,,
63176,Ettuttogai In Sanskrit,Sriramadesikan S N,,,M,R18,G,O,,MAIN - Vol 1,1007,,
63177,Pattuppattu In Sanskrit,Sriramadesikan S N,,,M,R18,G,O,,MAIN - Vol 1,1008,,
63178,Avvaiyar Niti Granthah,Sriramadesikan S N,,,M,R18,G,O,,MAIN - Vol 1,1123,,
63188,The Upanishads - An Anthology,D S Sarma,,,C6,R4,G,O,,MAIN - Vol 1,1013,,
63189,Gita Govindam And Sitaramavijayarahakeli,Jayadeva,,,F2,R5,G,O,,MAIN - Vol 1,1009,,
63190,Sanskrit Drama,Indusekhar,,,I1,R11,G,O,,MAIN - Vol 1,1010,,
63191,Abhinaya Sara Samputa,Narayana Aiyangar,,,I1,R11,D,O,,MAIN - Vol 1,1011,,
63192,Message of Upanishads,Ranganathananda,,,C6,R4,NA,M,,MAIN - Vol 1,1012,,
63193,Monograph On Natya Sastra,P S R Apparao,,,I1,R11,G,O,,MAIN - Vol 1,1014,,
63194,Essentials of Indian Philosophy,Hiriyanna M,,,C9,R2,G,O,,MAIN - Vol 1,1015,,
63195,Theory of Knowledge,R M Chrisholm,,,M,R18,G,O,,MAIN - Vol 1,1016,,
63196,Vedanta Sara Sangraha,Anantendra,,,C6,R4,G,O,,MAIN - Vol 1,1017,,
63197,Vishnu Sahasranama - A Study,T M P Mahadevan,,,D2,R9,G,O,,MAIN - Vol 1,1018,,
63198,Glimpses of Kalidasa,P Balakrishnan,,,M1,R19,G,O,,MAIN - Vol 1,1019,,
63199,Essays In Indian Philosophy (Presented To T M P Mahadevan On His 50Th Birthday),Fifty Two Scholars,,,P,R-6-B,G,O,,MAIN,,,
63526,Saundaryalahari Bhashyam,Anna,,,C8,R2,NA,M,,MAIN - Vol 1,1124,,
63527,Upanishad Saram,Anna,,,C6,R4,G,O,,MAIN - Vol 1,1125,,
63528,Upanishad Saram,Anna,,,C6,R4,D,O,,MAIN - Vol 1,1126,,
63529,Upanishad Saram,Anna,,,C6,R4,G,O,,MAIN - Vol 1,1127,,
63530,Upanishad Saram,Anna,,,C6,R4,G,O,,MAIN - Vol 1,1128,,
63531,Upanishad Saram,Anna,,,C6,R4,D,O,,MAIN - Vol 1,1129,,
63532,Upanishad Saram,Anna,,,C6,R4,G,O,,MAIN - Vol 1,1130,,
63533,Upanishad Saram,Anna,,,C6,R4,D,O,,MAIN - Vol 1,1131,,
63534,Upanishad Saram,Anna,,,C6,R4,NA,M,,MAIN - Vol 1,1132,,
63535,Vedartha Sangraha,Ramanuja,,,C6,R4,NA,M,,MAIN - Vol 1,1133,,
63536,Vedartha Sangraha of Sri Ramanujacharya,S S Raghavachar,,,C6,R4,G,O,,MAIN - Vol 1,1134,,
63537,Vedanta Paribasha,Dharmaraja Adhvari,,,C6,R4,D,O,,MAIN - Vol 1,1135,,
63538,Vedanta Paribasha,Dharmaraja Adhvari,,,C6,R4,NA,M,,MAIN - Vol 1,1136,,
63539,Vedanta Sara,Sadananda,,,C6,R4,G,O,,MAIN - Vol 1,1137,,
63540,Vedanta Sara,Sadananda,,,C6,R4,G,O,,MAIN - Vol 1,1138,,
63541,Vedanta Sara,Sadananda,"Sri Ramakrishna Math, Chennai",,C6,R4,NA,R,,MAIN - Vol 1,3026,,
63829,Vakroktijivita,Kuntaka,,,J,"R11, R12",G,O,,MAIN - Vol 1,1021,,
63830,Analytical Study of Isavasyopanishad,V V Mudolkar,,,C6,R4,G,O,,MAIN - Vol 1,1022,,
63831,Kalidasa,Karmarkar R D,,,M1,R19,G,O,,MAIN - Vol 1,1023,,
63832,Dhvanayaloka,Krishnamoorthy K,,,J,"R11, R12",G,O,,MAIN - Vol 1,1024,,
63833,Indian Philosophical Systems,E L Srikrishna Sarma,,,C9,R2,G,O,,MAIN - Vol 1,1026,,
63834,Sankara's Advaita,Karmarkar R D,,,C6,R4,G,O,,MAIN - Vol 1,1025,,
64036,Laghu Yoga Vasista,K Narayana Swami Iyer,,,C6,R4,NA,O,,MAIN - Vol 1,1166,,
64037,Laghu Yoga Vasista,K Narayana Swami Iyer,,,C6,R4,G,O,,MAIN - Vol 1,1115,,
64074,The Concept of Avatars,R K Pandey,,,E,R9,G,O,,MAIN - Vol 1,1141,,
64075,Character Portayals In The Ramayana of Valmiki,Alois Wurm,,,D4,R9,G,O,,MAIN - Vol 1,1142,,
64076,Sri Sarada Devi,Nanda Mukerjee,,,N,R19,G,O,,MAIN - Vol 1,1143,,
64077,The Eastern School of Prakrit Grammarians,S R Banerjee,,,L,R18,G,O,,MAIN - Vol 1,1144,,
64078,Public Speeches In Ancient And Medieval India,S C De,,,M,R18,G,O,,MAIN - Vol 1,1145,,
64079,The Rg Vedic Foundation of Classical Poets,Mainkar T G,,,J,"R11, R12",G,O,,MAIN - Vol 1,1146,,
64080,Sanskrit Manual,Monier Williams/Afgough,,,O,R16,G,O,,MAIN - Vol 1,1147,,
64081,History of Visistadvaita Literature,V K S N Raghvan,,,C6,R4,NA,M,,MAIN - Vol 1,1148,,
64134,Nyayokti Kosah,Chhalinath Misra,,,R,"R6, R16",G,O,,MAIN - Vol 1,1149,,
64135,Was Ramayana Copied From Homes?,K T Telary,,,D4,R9,G,O,,MAIN - Vol 1,1167,,
64136,Navyanyaya - Some Logical Problems In Historical Perspective,Gopika Mohan Bhattacharya,,,C2,R2,G,O,,MAIN - Vol 1,1150,,
64137,The Philosophy of Mandukya Karika,Caterina Colio,,,C6,R4,G,O,,MAIN - Vol 1,1151,,
64138,Panini As Grammarian,Mahavir,,,C6,R4,G,O,,MAIN - Vol 1,1152,,
64139,Sublime Thoughts of Katha Upanishad,Sarabdayal,,,C6,R4,TBR,O,,MAIN - Vol 1,1153,,
64140,Asvalayana Grhya Sutram,Narendranath Sarma,,,A5,R1,G,O,,MAIN - Vol 1,1154,,
64141,INdian Acculturation - Agastya & Skanda,Ghurye G S,,,M,R18,G,O,,MAIN - Vol 1,1155,,
64142,The Banner of Kamadeva  Literature & Indian Culture & Other Topics of Sanskrit,G T Artola,,,M,R18,G,O,,MAIN - Vol 1,1156,,
64143,Studies In Vedic And Indo-Iranian Religion And Literature Vol II,K C Chattopadhyaya,,,K,R17,G,O,,MAIN - Vol 1,1157,,
64144,Life Thought And Mysticism In India,M N Sircar,,,M,R18,G,O,,MAIN - Vol 1,1158,,
64216,Saraswata Vyakaranam I,Anubhuti Svarupocarya,,,B6,R3,G,O,,MAIN - Vol 1,1217,,
64217,Saraswata Vyakaranam I,Anubhuti Svarupocarya,,,B6,R3,G,O,,MAIN - Vol 1,1218,,
64218,Natya Sastra I,Bharata Muni,,,I1,R11,D,O,,MAIN - Vol 1,1219,,
64219,Natya Sastra II,Bharata Muni,,,I1,R11,G,O,,MAIN - Vol 1,1220,,
64220,Pratyabhijnahrdayam,Kshemaraja,,,C8,R2,G,O,,MAIN - Vol 1,1221,,
64221,Khandana Khanda Khadyam,Sri Harsha,,,C6,R4,G,O,,MAIN - Vol 1,1222,,
64222,Vaiyakarana Siddhanta Kaumudi Part I,Bhattoji Dikshit,,,B6,R3,D,O,,MAIN - Vol 1,1223,,
64223,Vaiyakarana Siddhanta Kaumudi Part II,Bhattoji Dikshit,,,B6,R3,G,O,,MAIN - Vol 1,1224,,
64224,Dasarupaka,Dhananjaya,,,I1,R11,G,O,,MAIN - Vol 1,1225,,
64225,Sabda Sakti Prakasika,Jagadisa Tarkalankara,,,J,"R11, R12",G,O,,MAIN - Vol 1,1226,,
64226,Prakrita Prakasa,Vararuci,,,L,R18,G,O,,MAIN - Vol 1,1227,,
64227,Kasika I,Vamanajayaditya,,,B6,R3,G,O,,MAIN - Vol 1,1228,,
64228,Kasika of Pt Vamana & Jayaditya Part II,Ed Sri Narayana Misra (Vamanajayaditya),,,B6,R3,G,O,,MAIN - Vol 1,1229,,
64229,Nyaya Siddhanta Muktavali - Karikavali,Viswanatha,,,C2,R2,G,O,,MAIN - Vol 1,1216,,
64230,Artha Sangraha,Laugakshi Bhaskara,,,C5,R2,NA,M,,MAIN - Vol 1,1230,,
64231,Atharvaveda Samhita (1-10 Khanda),Ed. Veni Madhava Sarma,,,A4,R1,G,O,,MAIN - Vol 1,1231,,
64232,Viddhasala Bhanjika,Rajasekhara,,,I,R10,G,O,,MAIN - Vol 1,1232,,
64233,Laryngeal Theory - A Critical Evaluvation,S S Misra,,,L,R18,G,O,,MAIN - Vol 1,1233,,
64234,Karnabharam,Bhasa,,,I,R10,NA,O,,MAIN - Vol 1,1234,,
64235,Tarka Sangraha,Annambhatta,,,C2,R2,D,O,,MAIN - Vol 1,1235,,
64236,Tarka Sangraha,Annambhatta,,,C2,R2,NA,M,,MAIN - Vol 1,1236,,
64237,Tarka Sangraha,Annambhatta,,,C2,R2,G,O,,MAIN - Vol 1,1237,,
64238,Tarka Sangraha,Annambhatta,,,C2,R2,NA,M,,MAIN - Vol 1,1238,,
64239,Poet-Philosophers of The Rg Veda,C Kunhan Raja,,,A6,R1,TBR,O,,MAIN - Vol 1,1159,,
64240,The Mind of Adi Sankara,Y Keshava Menon,,,C6,R4,NA,M,,MAIN - Vol 1,1160,,
64241,Pancatantra,A W Ryder,,,S,R19,G,O,,MAIN - Vol 1,1161,,
64242,Manu And Thiruvalluvar - A Comparative Study,Swami Ramananda Bharati,,,M,R18,G,O,,MAIN - Vol 1,1162,,
64243,Guide To Upanishads,M P Pandit (Compiler),,,C6,R4,G,O,,MAIN - Vol 1,1163,,
64244,A Study of Tamil Verbs,V S P Manickam,,,L,R18,G,O,,MAIN - Vol 1,1164,,
64245,Skanda Puranam Part I,Anantarama Dikshitar,,,E,R9,NA,O,,MAIN - Vol 1,1165,,
64669,Visistadvaita Vedanta - A Study,Aravind Sarma,,,C6,R4,G,O,,MAIN - Vol 1,1173,,
64748,Brahma Vidyabharanam Vol I,Advaitananda,,,C6,R4,G,O,,MAIN - Vol 1,1175,,
64749,Brahma Vidyabharanam,Advaitananda,,,C6,R4,G,O,,MAIN - Vol 1,1176,,
64750,Mandukya Karika Bhashya With Commentary of Anubhutisvarupa,Sankara,,,C6,R4,NA,M,,MAIN - Vol 1,1177,,
64758,Kalidasa,A D Singh,,,M1,R19,G,O,,MAIN - Vol 1,1178,,
64759,Kautilya's Concept of Diplomacy,Bharati Mukerjee,,,C9,R2,G,O,,MAIN - Vol 1,1179,,
64792,Technical Literature In Sanskrit,S Venkatasubramania Iyer,,,K,R17,NA,M,,MAIN - Vol 1,1368,,
64909,A History of Sanskrit Literature,Keith A B,,,K,R17,G,O,,MAIN - Vol 1,1174,,
65276,Mathematics In Ancient And Medieval India,A K Bag,,,M,R18,G,O,,MAIN - Vol 1,1183,,
65277,The Avestan - A Historical And Comparative Grammar,S S Mira,,,L,R18,G,O,,MAIN - Vol 1,1182,,
65278,Tarkabhasa,Kesava Misra,,,C2,R2,G,O,,MAIN - Vol 1,1181,,
65279,History of Sanskrit Literature In Tamil,N Natarajan,,,K,R17,NA,M,,MAIN - Vol 1,1184,,
65280,History of Sanskrit Literature In Tamil,N Natarajan,,,K,R17,NA,M,,MAIN - Vol 1,1185,,
65281,History of Sanskrit Literature In Tamil,N Natarajan,,,K,R17,NA,M,,MAIN - Vol 1,1186,,
65282,History of Sanskrit Literature In Tamil,N Natarajan,,,K,R17,G,O,,MAIN - Vol 1,1187,,
65400,Kiratarjuniya Canto I - With Tamil Translation,Bharavi,,,F2,R5,NA,M,,MAIN - Vol 1,1188,,
65401,Kiratarjuniya Canto I - With Tamil Translation,Bharavi,,,F2,R5,G,O,,MAIN - Vol 1,1189,,
65402,Kiratarjuniya Canto I - With Tamil Translation,Bharavi,,,F2,R5,D,O,,MAIN - Vol 1,1190,,
65403,Dasakumara Charitham With Tamil Translation,Dandin,,,G,R17,G,O,,MAIN - Vol 1,1196,,
65404,Dasakumara Charitham With Tamil Translation,Dandin,,,G,R17,G,O,,MAIN - Vol 1,1197,,
65405,Dasakumara Charitham With Tamil Translation,Dandin,,,G,R17,D,O,,MAIN - Vol 1,1198,,
65476,Sanskrit - English Dictionary,A A MacDonell,,,R,"R6, R16",G,O,,MAIN - Vol 1,1191,,
65477,Thai-Desa Vilasam,Satyavrat Sastri,,,F1,R5,G,O,,MAIN - Vol 1,1192,,
65478,Kalpacintamanih,Damodara Bhatta,,,B1,R3,G,O,,MAIN - Vol 1,1199,,
65479,Political Concepts And Institutions In The Sukla Yajurveda,U K Pandey,,,A2,R1,G,O,,MAIN - Vol 1,1193,,
65493,Inference In Indian And Western Logic,B K Bhattacharya,,,C2,R2,G,O,,MAIN - Vol 1,1194,,
65494,A Mordern Introduction To Indian Logic,S S Barlingay,,,C2,R2,G,O,,MAIN - Vol 1,1195,,
65495,Vasishtha Ramayana - A Study,T G Minkar,,,D3,R9,G,O,,MAIN - Vol 1,1200,,
65628,Cultural History of Ancient India,P S Joshi,,,M,R18,G,O,,MAIN - Vol 1,2048,,
65629,Cultural History of India,P S Joshi,,,M,R18,NA,M,,MAIN - Vol 1,2033,,
65761,Dasaprakarana I,Ed. From Bangalore,,,C7,R2,G,O,,MAIN - Vol 1,1201,,
65762,Dasaprakarana II,Ed. From Bangalore,,,C7,R2,G,O,,MAIN - Vol 1,1202,,
65763,Dasaprakarana III,Ed. From Bangalore,,,C7,R2,G,O,,MAIN - Vol 1,1203,,
65764,Dasaprakarana IV,Ed. From Bangalore,,,C7,R2,G,O,,MAIN - Vol 1,1204,,
65765,Brahmasutra - Catussutri,,Oriental Book Agency - Poona,,C6,R4,NA,M,,MAIN - Vol 1,1205,,
65766,Brahmasutra - Catussutri,,Oriental Book Agency - Poona,,C6,R4,G,O,,MAIN - Vol 1,1206,,
65767,Brahmasutra - Catussutri,,Oriental Book Agency - Poona,,C6,R4,D,O,,MAIN - Vol 1,1207,,
65768,Brahmasutra - Catussutri,,Oriental Book Agency - Poona,,C6,R4,G,R,,MAIN - Vol 1,274,,
65784,Bhakti Ratnavali (From Bhagavata),Vishnu Puri (R K Math Ed),,,C8,R2,G,O,,MAIN - Vol 1,1209,,
65853,The Stream of Indian Culture,Nirmal Kumar,,,M,R18,G,O,,MAIN - Vol 1,1214,,
65854,Vedanta And Modern Science,Bharatiya Vidya Bhavan Publication,,,C6,R4,G,O,,MAIN - Vol 1,1215,,
65889,Sankaracarya,T M P Mahadevan,,,M1,R19,G,O,,MAIN - Vol 1,1239,,
65896,Srisuktam,"Dhundhi Raja Sastri, Chowkhamba Ed.",,,A1,R1,G,O,,MAIN - Vol 1,1240,,
65897,Sri Madhva Vedanta (Poornaprajna Bhashya),Madhvacharya,,,C6,R4,G,O,,MAIN - Vol 1,1241,,
65898,Women In Manusmriti And His Seven Commentators,Das R M,,,A5,R1,G,O,,MAIN - Vol 1,1242,,
65899,Ascetics of Kasi,Sinha And Sarasvati,,,M,R18,G,O,,MAIN - Vol 1,1243,,
65900,Essays On Sankhya And Other Systems of Indian Philosophy,Gupta A S,,,C3,R2,G,O,,MAIN - Vol 1,1244,,
65901,Isavasyopanishad With Sankara's Commentary,Ed. Sastri And Others,,,C6,R4,G,O,,MAIN - Vol 1,1245,,
65902,Devipushpanjalistotram,Ed. Chowkamba,,,F2,R5,G,O,,MAIN - Vol 1,1246,,
65903,Sukla Yajurveda Sadhyopasana Vidhi,Ed. Chowkamba,,,A2,R1,D,O,,MAIN - Vol 1,1247,,
65904,Madhyandina Sakhiya Purusasuktam,Ed. Chowkamba,,,A1,R1,D,O,,MAIN - Vol 1,1248,,
65905,Devisuktam,Ed. Chowkamba,,,A1,R1,D,O,,MAIN - Vol 1,1249,,
65906,Srisuktam,Ed. Chowkamba,,,A1,R1,G,O,,MAIN - Vol 1,1250,,
65907,Sri Hanuman Calisa,Ed. Chowkamba,,,M,R18,G,O,,MAIN - Vol 1,1251,,
65908,Political Thought In Sanskrit Kavya,Geeta Upadhyay,,,M,R18,NA,M,,MAIN - Vol 1,1252,,
65909,Dasarupakam,Ed. Ramji Upadhyaya,,,I1,R11,G,O,,MAIN - Vol 1,1253,,
65971,The Philosophy of Language,P K Mazumdar,,,L,R18,G,O,,MAIN - Vol 1,1254,,
65972,The Mahabharata - A Literary Study,J P Sinha,,,D4,R9,G,O,,MAIN - Vol 1,1255,,
66092,The Three Tatvas (English Translation of Sribhasya),V K Ramanujacari,,,C6,R4,G,O,,MAIN - Vol 1,1256,,
66123,An Introduction To Indian Poetics,Ed. Dr V Raghavan And Prof. Nagendra,,,J,"R11, R12",G,O,,MAIN - Vol 1,1259,,
66263,Jnaneswari (Translation),R K Bhawat,,,C8,R2,G,O,,MAIN - Vol 1,1264,,
66283,First Book of Sanskrit I,R G Bhandarkar,,,O,R16,G,O,,MAIN - Vol 1,1262,,
66284,First Book of Sanskrit I,R G Bhandarkar,,,O,R16,G,O,,MAIN - Vol 1,1263,,
66352,Asvalayana Grhya Karma Proyogah,Ed. V S Venkataraghavacari,,,A5,R1,G,O,,MAIN - Vol 1,1266,,
